City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
156,ilulissat,69.2167,-51.1,4.01,93,100,3.6,GL,1719641319
157,akureyri,65.6835,-18.0878,7.07,90,100,2.35,IS,1719641321
158,laojunmiao,39.8333,97.7333,23.33,26,100,2.27,CN,1719641322
159,bikenibeu village,1.3673,173.1241,29.98,74,75,2.57,KI,1719641324
160,balotra,25.8333,72.2333,35.15,50,100,5.71,IN,1719641326
161,dhidhdhoo,6.8833,73.1,28.17,78,46,4.79,MV,1719641327
162,margate,51.3813,1.3862,15.94,74,30,1.66,GB,1719641329
163,baghlan,35.75,69.0,26.72,27,0,2.81,AF,1719641331
164,kirensk,57.7853,108.1119,33.47,23,38,4.75,RU,1719641332
165,lihue,21.9789,-159.3672,23.77,80,75,7.2,US,1719641334
166,udachny,66.4167,112.4,21.83,70,90,3.15,RU,1719641336
167,sinop,41.7711,34.8709,20.68,55,42,3.46,TR,1719641337
168,tabas,33.5959,56.9244,39.58,13,63,2.52,IR,1719641339
169,piacabucu,-10.4056,-36.4344,20.17,89,6,1.77,BR,1719641341
170,anadyr,64.75,177.4833,9.28,100,75,4.0,RU,1719641343
171,tonghae,37.5439,129.1069,27.1,64,85,2.87,KR,1719641346
172,inirida,3.8653,-67.9239,23.41,96,98,0.31,CO,1719641348
173,eyl,7.9803,49.8164,30.23,32,90,15.66,SO,1719641349
174,wareham,50.6889,-2.1104,13.29,86,88,1.29,GB,1719641351
175,nuku'alofa,-21.1333,-175.2,22.19,88,75,4.12,TO,1719641353
176,zaozersk,69.4005,32.4476,21.41,65,58,5.51,RU,1719641355
177,san luis de la loma,17.2706,-100.8939,25.34,83,84,1.78,MX,1719641356
178,kayangel,8.0823,134.7173,27.12,83,98,4.78,PW,1719641358
179,papao,-17.75,-149.55,25.82,83,24,12.6,PF,1719641361
180,sparti,37.0733,22.4297,29.42,32,0,5.59,GR,1719641363
181,yuzhno-kurilsk,44.0306,145.8556,17.19,88,51,4.31,RU,1719641365
182,torit,4.4133,32.5678,22.48,83,86,0.49,SS,1719641366
183,novo aripuana,-5.1206,-60.3797,23.99,85,31,1.12,BR,1719641368
184,yurty,56.0498,97.6348,33.12,26,6,2.43,RU,1719641370
185,salalah,17.0151,54.0924,32.05,70,100,3.6,OM,1719641371
186,fale old settlement,-9.3852,-171.2468,28.55,78,14,7.98,TK,1719641373
187,fort bragg,35.139,-79.006,25.67,91,85,2.1,US,1719641375
188,lompoc,34.6391,-120.4579,13.77,93,100,1.54,US,1719641194
189,alice springs,-23.7,133.8833,28.75,37,100,8.23,AU,1719641331
190,linqiong,30.4159,103.4609,30.87,58,100,1.78,CN,1719641380
191,delijan,33.9905,50.6838,30.23,23,2,1.53,IR,1719641381
192,la ronge,55.1001,-105.2842,9.04,57,24,1.3,CA,1719641383
193,qaqortoq,60.7167,-46.0333,2.75,98,100,4.18,GL,1719641385
194,celestun,20.8667,-90.4,26.68,81,45,6.13,MX,1719641387
195,shar,49.5886,81.0453,33.52,25,15,4.61,KZ,1719641388
196,tadine,-21.55,167.8833,21.77,64,64,6.25,NC,1719641390
197,dunedin,-45.8742,170.5036,8.22,66,7,0.61,NZ,1719641221
198,pisco,-13.7,-76.2167,16.03,88,100,1.03,PE,1719641393
199,leua,48.2156,18.6071,26.86,77,30,0.33,SK,1719641395
200,camacupa,-12.0167,17.4833,10.61,56,1,1.54,AO,1719641397
201,copala,16.65,-98.9833,25.15,84,100,1.32,MX,1719641398
202,samana,19.2056,-69.3369,23.92,93,100,2.24,DO,1719641400
203,archangelos,36.2149,28.1149,25.99,46,0,3.44,GR,1719641402
204,port alfred,-33.5906,26.891,17.32,69,38,0.89,ZA,1719641404
205,lazaro cardenas,17.9583,-102.2,24.52,86,89,1.82,MX,1719641405
206,mudgee,-32.5943,149.5871,17.01,69,23,4.01,AU,1719641407
207,vytegra,61.0064,36.4481,23.54,47,1,3.41,RU,1719641409
208,walvis bay,-22.9575,14.5053,13.38,92,1,2.02,NA,1719641410
209,tahe,52.3333,124.7333,25.48,26,13,3.52,CN,1719641412
210,san sebastian de la gomera,28.0916,-17.1133,20.21,77,0,1.03,ES,1719641414
211,mahina,-17.5065,-149.489,25.87,69,0,1.54,PF,1719641415
212,ormond-by-the-sea,29.3491,-81.0665,24.49,95,0,0.45,US,1719641417
213,codrington,-38.2667,141.9667,10.39,76,100,7.49,AU,1719641419
214,champasak,14.75,106.0,29.6,83,97,1.48,LA,1719641422
215,tweed heads,-28.1817,153.547,22.89,67,20,4.63,AU,1719641424
216,kiruna,67.8557,20.2251,20.51,68,40,3.6,SE,1719641426
217,raposa,-6.5167,-44.1833,19.11,60,48,0.73,BR,1719641427
218,tazacorte,28.629,-17.9293,19.54,88,0,5.14,ES,1719641429
219,severo-yeniseyskiy,60.3725,93.0408,26.86,49,69,2.79,RU,1719641432
220,hermanus,-34.4187,19.2345,15.45,53,56,3.83,ZA,1719641434
221,elko,41.0002,-115.5012,19.8,29,0,5.36,US,1719641436
222,muang xay,20.7,101.9833,29.87,63,100,2.1,LA,1719641437
223,crane,31.3974,-102.3501,30.75,38,0,10.4,US,1719641439
224,woolgoolga,-30.1106,153.2007,20.93,67,0,5.38,AU,1719641441
225,gabu,12.2833,-14.2167,23.77,95,28,2.01,GW,1719641443
226,east london,-33.0153,27.9116,21.52,43,0,5.14,ZA,1719641444
227,usinsk,65.9939,57.5281,10.84,70,82,7.05,RU,1719641446
228,bardai,11.65,7.2333,23.74,72,87,2.12,NG,1719641448
229,senanga,-16.1167,23.2667,12.4,67,6,1.99,ZM,1719641451
230,praia da vitoria,38.7333,-27.0667,20.42,93,46,3.82,PT,1719641453
231,punta gorda,26.9298,-82.0454,27.22,93,0,1.54,US,1719641455
232,touros,-5.1989,-35.4608,22.48,89,46,4.4,BR,1719641456
233,prainha,-1.8,-53.48,23.66,84,60,1.31,BR,1719641458
234,keflavik,64.0049,-22.5624,8.95,100,20,5.66,IS,1719641460
235,esquel,-42.9,-71.3167,-2.51,97,46,2.15,AR,1719641461
236,port shepstone,-30.7414,30.455,17.19,62,37,2.61,ZA,1719641463
237,merizo village,13.2658,144.6691,31.31,83,54,4.33,GU,1719641465
238,lata,40.1629,-8.3327,16.71,97,100,1.33,PT,1719641466
239,opuwo,-18.0607,13.84,12.24,49,0,2.49,NA,1719641468
240,puerto baquerizo moreno,-0.9,-89.6,20.95,92,26,5.17,EC,1719641470
241,chom bueng,13.62,99.5917,35.08,44,97,1.15,TH,1719641471
242,homer,59.6425,-151.5483,14.32,68,100,1.54,US,1719641473
243,siwa oasis,29.2041,25.5195,27.26,50,0,6.13,EG,1719641475
244,barra dos coqueiros,-10.9089,-37.0386,20.01,94,30,1.03,BR,1719641477
245,greenville,35.6127,-77.3663,25.09,93,0,2.06,US,1719641478
246,dudinka,69.4058,86.1778,8.95,58,100,9.02,RU,1719641480
247,kalmunai,7.4167,81.8167,32.91,48,49,2.16,LK,1719641482
248,bandon,51.7469,-8.7425,14.77,99,100,3.26,IE,1719641483
249,sao tome,0.3365,6.7273,24.87,86,75,2.9,ST,1719641485
250,olinda,-8.0089,-34.8553,21.85,88,0,1.03,BR,1719641487
251,rio grande,-32.035,-52.0986,6.64,73,1,7.88,BR,1719641488
252,rikaze,29.25,88.8833,17.09,46,100,1.09,CN,1719641490
253,hasaki,35.7333,140.8333,27.94,86,100,3.05,JP,1719641492
254,sabang,5.8933,95.3214,28.65,77,98,10.49,ID,1719641493
255,tomatlan,19.9333,-105.25,23.06,82,93,0.26,MX,1719641495
256,brookings,44.3114,-96.7984,17.84,91,75,2.06,US,1719641497
257,as saffaniyah,27.9708,48.73,38.52,19,1,5.68,SA,1719641499
258,knyaze-volkonskoye,48.4642,135.4567,21.19,84,94,8.15,RU,1719641500
259,choele choel,-39.2667,-65.6833,3.04,62,0,2.57,AR,1719641502
260,kolda,12.8833,-14.95,24.74,86,77,1.95,SN,1719641504
261,linhares,-19.3911,-40.0722,20.1,97,62,2.58,BR,1719641505
262,kristinestad,62.2743,21.376,17.83,92,100,6.28,FI,1719641507
263,daru,-9.0763,143.2092,26.36,85,99,7.84,PG,1719641509
264,salinopolis,-0.6136,-47.3561,25.07,88,56,2.95,BR,1719641510
265,shingu,33.7333,135.9833,28.84,68,100,3.72,JP,1719641512
266,dingcheng,32.1272,115.0394,28.93,71,99,3.96,CN,1719641514
267,rockingham,42.9668,-71.0995,17.43,77,93,0.45,US,1719641516
268,usoke,-5.1667,32.35,19.63,54,29,4.01,TZ,1719641517
269,fort st. john,56.2499,-120.8529,11.45,90,100,1.73,CA,1719641507
270,urzhar,47.093,81.6294,36.24,19,49,4.15,KZ,1719641522
271,igarka,67.4667,86.5833,13.02,44,89,6.01,RU,1719641524
272,fort mcmurray,56.7268,-111.381,12.73,54,0,3.09,CA,1719641526
273,molde,62.7375,7.1591,13.91,67,75,6.69,NO,1719641527
274,kichmengskiy gorodok,59.9816,45.7854,19.54,41,7,1.85,RU,1719641529
275,nemuro,43.3236,145.575,15.65,95,83,5.69,JP,1719641531
276,lensk,60.7253,114.9278,20.37,84,99,1.81,RU,1719641533
277,andratx,39.5755,2.4202,24.13,88,99,5.19,ES,1719641534
278,maragogi,-9.0122,-35.2225,20.57,90,63,2.2,BR,1719641536
279,niquero,20.0431,-77.5828,26.08,88,100,3.42,CU,1719641538
280,talcahuano,-36.7167,-73.1167,5.82,70,0,6.17,CL,1719641539
281,vershino-darasunskiy,52.35,115.5167,27.42,24,27,4.35,RU,1719641541
282,cockburn town,21.4612,-71.1419,27.39,83,70,7.0,TC,1719641543
283,visconde do rio branco,-21.0103,-42.8406,17.8,72,57,2.05,BR,1719641546
284,arkhangel'sk,64.5401,40.5433,23.06,46,0,5.0,RU,1719641548
285,aswan,24.0934,32.907,36.51,14,73,6.72,EG,1719641549
286,montevideo,-34.8335,-56.1674,5.84,56,40,7.72,UY,1719641551
287,baukau,51.5526,7.2042,18.84,75,55,1.67,DE,1719641553
288,sinan,34.8262,126.1086,24.06,96,100,14.61,KR,1719641555
289,cullman,34.1748,-86.8436,26.19,94,20,3.6,US,1719641556
290,chibougamau,49.9168,-74.3659,14.79,67,100,2.57,CA,1719641558
291,kapa'a,22.0752,-159.319,24.18,79,75,7.2,US,1719641487
292,keminmaa,65.8596,24.8228,20.87,78,31,3.09,FI,1719641561
293,urangan,-25.3,152.9,22.33,77,99,3.58,AU,1719641563
294,flying fish cove,-10.4217,105.6791,27.82,78,20,5.66,CX,1719641567
295,ad douiem,14.0012,32.3116,29.91,51,93,9.93,SD,1719641568
296,palikir - national government center,6.9248,158.1611,28.47,94,100,0.0,FM,1719641570
297,kampene,-3.6,26.6667,23.14,51,71,1.36,CD,1719641572
298,as sulayyil,20.4607,45.5779,36.14,9,100,5.74,SA,1719641573
299,kupang,-10.1667,123.5833,34.32,62,40,7.2,ID,1719641374
300,penzance,50.1186,-5.5371,13.38,77,52,3.97,GB,1719641577
301,holualoa,19.6228,-155.9522,21.42,88,55,1.57,US,1719641578
302,pervomayskoye,43.919,46.7102,26.2,37,7,4.8,RU,1719641580
303,swakopmund,-22.6833,14.5333,13.32,91,0,0.89,NA,1719641582
304,bei'an,24.5399,109.533,30.1,80,100,6.21,CN,1719641583
305,sur,22.5667,59.5289,36.92,36,100,5.96,OM,1719641585
306,prince rupert,54.3161,-130.3201,12.83,94,75,3.6,CA,1719641587
307,baie-comeau,49.2168,-68.1489,11.82,82,75,2.06,CA,1719641588
308,illizi,26.4833,8.4667,30.89,13,0,1.7,DZ,1719641590
309,lazarevskoye,43.9061,39.3331,23.38,55,0,2.5,RU,1719641592
